0.514,0.738,0.514,0.738,0.66,0.6263736263736264,0.35304682860848513
0.609,0.787,0.574,0.811,0.73,0.6980698529411764,1.0455926606261707
0.561,0.716,0.493,0.768,0.665,0.6385119855269108,-0.14142096041021887
0.55,0.836,0.589,0.812,0.75,0.692857142857143,0.28312682926626676
0.6,0.841,0.589,0.847,0.775,0.7206896551724137,0.17593646625460793
0.54,0.869,0.654,0.804,0.765,0.7041478391843355,0.2215148088924477
0.481,0.89,0.619,0.823,0.78,0.6859462201927955,0.06231860914938125
0.561,0.858,0.661,0.799,0.76,0.7094075079149705,-0.04656304999573749
0.59,0.791,0.554,0.815,0.73,0.6907654204505248,1.0061436370193706
0.654,0.716,0.447,0.855,0.7,0.6850311850311851,0.4665887964203671
0.581,0.87,0.667,0.822,0.78,0.7251051893408134,0.17973334570406965
