bad_f,good_ls,type1_f,type2_f,total accuracy_f,AUC_ls,b_f
0.508,0.926,0.767,0.796,0.79,0.7168091168091169,0.2642376470077324
0.661,0.906,0.759,0.856,0.83,0.7835437120149604,1.9872252246244644
0.435,0.928,0.73,0.785,0.775,0.6815100514258999,0.45779083055930875
0.62,0.915,0.8,0.814,0.81,0.7672234960148488,-0.172184310398805
0.729,0.943,0.843,0.893,0.88,0.8360379853347758,0.6188287475750724
0.577,0.884,0.732,0.792,0.775,0.7305928594824763,0.4655690421896627
0.603,0.894,0.7,0.847,0.81,0.7489072365225837,-0.2558346185499641
0.481,0.953,0.781,0.839,0.83,0.7167359667359667,0.3398761139459136
0.623,0.905,0.702,0.869,0.83,0.7637017070979334,0.3294591570846599
0.569,0.923,0.75,0.84,0.82,0.7457503642544925,0.026986697683626028
